project_id,energy_type,energy_subtype,installation_size_kw,location_latitude,location_longitude,month,historical_production_kwh,investment_per_share_eur,total_shares,panel_age_months,kwh_per_share_per_month
52,Biomass,Wood Biomass,3673.3700119664554,19.86584841970366,-10.638881573453808,3,"[299.9749158180029, 659.2488919658672, 533.7086111390219, 342.86681792194076, 850.8884729488528, 256.4115790271003, 921.9987722668247, 1138.5527090157502, 200.77876584101432, 1192.2115592912176, 817.4815096277165, 811.653160488281]",6.377929517844894,28480,49,10.182770042137163
42,Geothermal,Flash Steam,1863.4911243037739,5.606998421703594,27.110557683580815,3,"[582.4619912671627, 1183.2308858067881, 666.76289324798, 1059.9404067363207, 880.3075385877797, 650.4992519695429, 213.26496115986652, 1142.2017556848527, 763.2882178455393, 585.4165025399161, 215.9662522202142, 430.893825622149]",51.999965875072284,24483,199,4.145827453001413
8,Hydro,Pumped,1985.750007487542,-21.776391221193766,25.32168461905915,6,"[407.9416628681888, 767.7003278199915, 231.31329245555858, 1042.2847745949985, 649.7541333697657, 595.1502360018144, 1126.6588657937941, 927.2719958564209, 526.5407688058353, 770.4439744053994, 720.8342600258237, 1161.1720243493492]",169.68410049223954,25300,82,4.443857611466466
24,Wind,Onshore,1440.6258229525347,14.269608315824847,-11.54454650151424,1,"[215.63640674119392, 623.4014807063696, 594.8815181755697, 493.4881747180381, 214.07982271508445, 398.84240408880515, 911.34195274865, 990.1755405312057, 805.9599747810114, 1126.3008785133488, 851.0770255019445, 1114.9596755437808]",170.75752266901085,14067,162,4.448688657278701
23,Biomass,Wood Biomass,2976.924049153249,-12.527820700993583,13.674605550862069,3,"[319.5942459383017, 913.244787222995, 960.7850486168975, 761.2771975694963, 970.967179954561, 693.7955963643908, 722.7328293819941, 627.5410183585496, 225.4191267440952, 307.89142699330444, 231.42918568673426, 836.4104112637804]",66.2994163098837,46151,132,4.785267170068243
23,Biomass,Wood Biomass,3789.978135788091,-17.120183450837754,-15.38120541027242,11,"[894.7849330397046, 1080.4678390152576, 824.3540481337933, 495.633685837714, 305.4942598302706, 656.5345704829102, 418.44043721683363, 616.5099478703662, 1083.2802589188682, 524.345021005274, 322.0879547006733, 556.2978380769749]",181.83154610142205,31080,121,5.547275215764074
77,Solar,Molten Salt,84.41304612939399,11.07473025775657,5.044660188926741,5,"[892.4360328902703, 469.4123337985215, 444.12552224777414, 368.2910421729306, 418.76421957307025, 758.1020020173412, 603.8361710580408, 264.89224710898156, 453.91541393434466, 446.87606283860123, 896.3042728397884, 912.270589924442]",33.87695134091298,28728,187,0.1472017910646
2,Geothermal,Flash Steam,213.60112785771452,-5.492875197331699,18.06108068208183,2,"[730.9345833171363, 647.7831645730917, 752.893089071328, 792.6967238793935, 280.85332633271526, 569.6544560614045, 442.1599382774259, 1003.1397563798959, 670.3006344460384, 1183.423140894843, 598.8244424445531, 1016.4318732193839]",160.67729937198746,28848,124,0.4691811851801457
80,Biomass,Wood Biomass,2974.920068781797,27.756436184228235,-19.004730264328632,3,"[1009.5010461397154, 548.6659872917294, 296.1765510914208, 1140.5232644896041, 597.5720210875223, 717.7513505274801, 1037.710105907328, 875.6901170392807, 935.2161192407722, 409.0716207377137, 741.4479738275659, 895.7843993450822]",49.56725425047343,32065,112,6.377388873956186
60,Solar,Thermal,4981.4558138017255,56.54193512887936,13.497607216425855,11,"[388.70710834137935, 478.8713525921819, 900.3578299727712, 1046.661142238306, 1056.3242918780925, 604.5081271221901, 1087.7700987609599, 1050.9284487675127, 1135.6349942209476, 985.3406511139435, 868.9882547142287, 780.6866214364546]",77.5951394795399,39360,99,6.841559216045524
